2010,2011,2012,2013,2014,2015,average,Average 2010-2015,Stop ID,Stop Name,
5407322,5573587,5714183,6259935,6867521,6826275,6108137.167,"6,108,137.17",A25,50 St,
24265016,24751771,24851746,25726374,26493571,26147434,25372652,"25,372,652.00",A28,34 St - Penn Station,
6707382,7001778,7155940,7629811,7923005,7844508,7377070.667,"7,377,070.67",A30,23 St,
11795495,12415290,13044037,13903211,14340856,14763727,13377102.67,"13,377,102.67",A31-L01,14 St / 8 Av,
12295023,12506322,12727443,13533369,13942101,14147148,13191901,"13,191,901.00",A32-D20,W 4 St / W 4 St,
3301437,3589809,3718956,3874428,3965206,3782314,3705358.333,"3,705,358.33",A33,Spring St,
5351984,5646937,5612068,5922371,6013138,6011243,5759623.5,"5,759,623.50",A34,Canal St,
1968091,2093306,2209212,2441136,2687244,2656705,2342615.667,"2,342,615.67",A40,High St,
10488087,11149629,11492780,11793956,12197352,12765132,11647822.67,"11,647,822.67",A41-R29,Jay St - MetroTech / Jay St - MetroTech,
2923091,2968639,2990881,2971379,2961316,3038302,2975601.333,"2,975,601.33",A42,Hoyt - Schermerhorn Sts,
1525942,1556902,1582360,1638947,1617464,1631737,1592225.333,"1,592,225.33",A43,Lafayette Av,
1707500,1819542,1891559,2104035,2077312,2060200,1943358,"1,943,358.00",A44,Clinton - Washington Avs,
1768472,1904736,1982691,2049246,2125076,2137752,1994662.167,"1,994,662.17",A45-S01,Franklin Av / Franklin Av,
4863842,5139201,5283444,5510841,5439806,5762163,5333216.167,"5,333,216.17",A46,Nostrand Av,
1571551,1659127,1703474,1834623,1887628,1992480,1774813.833,"1,774,813.83",A47,Kingston - Throop Avs,
4272623,4437282,4530536,4726582,4878678,5060099,4650966.667,"4,650,966.67",A48,Utica Av,
1529747,1585546,1625548,1719602,1787157,1867793,1685898.833,"1,685,898.83",A49,Ralph Av,
1499681,1548571,1574733,1615457,1641268,1721297,1600167.833,"1,600,167.83",A50,Rockaway Av,
837165,817481,796044,810031,807678,858554,821158.8333,"821,158.83",A52,Liberty Av,
893234,901530,897528,941172,967947,1019100,936751.8333,"936,751.83",A53,Van Siclen Av,
917964,930613,945113,988620,1027404,1059106,978136.6667,"978,136.67",A54,Shepherd Av,
3004395,3100867,3115445,3323235,3315007,3509500,3228074.833,"3,228,074.83",A55,Euclid Av,
1910245,1953637,1952581,1958503,2041848,2084651,1983577.5,"1,983,577.50",A57,Grant Av,
1259783,1283827,1294099,1310413,1507116,1465264,1353417,"1,353,417.00",A59,80 St,
790264,805054,792615,808822,613296,1011163,803535.6667,"803,535.67",A60,88 St,
2353592,2373967,2446937,2637100,2575171,1729268,2352672.5,"2,352,672.50",A61,Rockaway Blvd,
503835,523212,507774,516000,388144,538400,496227.5,"496,227.50",A63,104 St,
771073,798886,796622,795820,802831,767647,788813.1667,"788,813.17",A64,111 St,
2221497,2286542,2246624,2262961,2263109,2224331,2250844,"2,250,844.00",A65,Ozone Park - Lefferts Blvd,
2653708,2707275,2654261,2631860,2683624,2884831,2702593.167,"2,702,593.17",B04,21 St - Queensbridge,
2580003,2114468,2026567,1948925,1870476,1966493,2084488.667,"2,084,488.67",B06,Roosevelt Island,
4889704,4722939,4566850,4462467,4479963,4718159,4640013.667,"4,640,013.67",B08,Lexington Av/63 St,
4510875,4630781,4408190,4520733,4603639,4720245,4565743.833,"4,565,743.83",B10,57 St,
1863019,1681423,1668767,1896942,1938987,1843944,1815513.667,"1,815,513.67",B12,9 Av,
1154051,1103024,1025285,1240644,1317172,1297755,1189655.167,"1,189,655.17",B13,Fort Hamilton Pkwy,
942902,897609,941157,1021409,1009971,968612,963610,"963,610.00",B14,50 St,
580913,586282,546080,601931,603320,595157,585613.8333,"585,613.83",B15,55 St,
1692800,1768935,1931306,1654945,1716638,1857740,1770394,"1,770,394.00",B16-N04,62 St / New Utrecht Av,
